song ID,song name,song popularity,artist name,artist id,artist genres,album name,album id,album release date,track image,artist image
spotify:track:2SVidGYgD1B40yiL8qSclk,On My Grind,8,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,"experimental pop, montreal indie",Good Will Come to You (Remastered),386vpRLVBVx08Jj1ZJqcga,22/09/2017,https://i.scdn.co/image/ab67616d0000b273b57e49202924f6b3dbe77cc3,https://i.scdn.co/image/ab6761610000e5eb1638d480b78afdf73f61052b
spotify:track:1GLASdismkN4CbwikPngYI,Open Sesame,9,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,"experimental pop, montreal indie",Good Will Come to You (Remastered),386vpRLVBVx08Jj1ZJqcga,22/09/2017,https://i.scdn.co/image/ab67616d0000b273b57e49202924f6b3dbe77cc3,https://i.scdn.co/image/ab6761610000e5eb1638d480b78afdf73f61052b
spotify:track:6j61ip104GuGRkuccqFVGl,I'm Free,7,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,"experimental pop, montreal indie",Good Will Come to You (Remastered),386vpRLVBVx08Jj1ZJqcga,22/09/2017,https://i.scdn.co/image/ab67616d0000b273b57e49202924f6b3dbe77cc3,https://i.scdn.co/image/ab6761610000e5eb1638d480b78afdf73f61052b
spotify:track:1bzyElCVLY0KOO1G3ktmQ6,Rain Will Not Change,7,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,"experimental pop, montreal indie",Good Will Come to You (Remastered),386vpRLVBVx08Jj1ZJqcga,22/09/2017,https://i.scdn.co/image/ab67616d0000b273b57e49202924f6b3dbe77cc3,https://i.scdn.co/image/ab6761610000e5eb1638d480b78afdf73f61052b
spotify:track:1A7iMi44NRJQKuJoqHj4SM,I Felt the Evening Come Through the Window,14,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,"experimental pop, montreal indie",Good Will Come to You (Remastered),386vpRLVBVx08Jj1ZJqcga,22/09/2017,https://i.scdn.co/image/ab67616d0000b273b57e49202924f6b3dbe77cc3,https://i.scdn.co/image/ab6761610000e5eb1638d480b78afdf73f61052b
spotify:track:15va3E9u0wwVAMyAkriTrH,Brand New,7,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,"experimental pop, montreal indie",Good Will Come to You (Remastered),386vpRLVBVx08Jj1ZJqcga,22/09/2017,https://i.scdn.co/image/ab67616d0000b273b57e49202924f6b3dbe77cc3,https://i.scdn.co/image/ab6761610000e5eb1638d480b78afdf73f61052b
spotify:track:32cc5p97ffK4PpqufQWunJ,Exercise A,6,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,"experimental pop, montreal indie",Good Will Come to You (Remastered),386vpRLVBVx08Jj1ZJqcga,22/09/2017,https://i.scdn.co/image/ab67616d0000b273b57e49202924f6b3dbe77cc3,https://i.scdn.co/image/ab6761610000e5eb1638d480b78afdf73f61052b
spotify:track:5ywNyDu8AMpP6S6INcdwtW,Staying in Line,9,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,"experimental pop, montreal indie",Good Will Come to You (Remastered),386vpRLVBVx08Jj1ZJqcga,22/09/2017,https://i.scdn.co/image/ab67616d0000b273b57e49202924f6b3dbe77cc3,https://i.scdn.co/image/ab6761610000e5eb1638d480b78afdf73f61052b
spotify:track:6VAvgXb6w931iEDSabXmg1,In Harmony,6,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,"experimental pop, montreal indie",Good Will Come to You (Remastered),386vpRLVBVx08Jj1ZJqcga,22/09/2017,https://i.scdn.co/image/ab67616d0000b273b57e49202924f6b3dbe77cc3,https://i.scdn.co/image/ab6761610000e5eb1638d480b78afdf73f61052b
spotify:track:3A1Fers3pQHjgcjk5PCl3B,Who I Am,6,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,"experimental pop, montreal indie",Good Will Come to You (Remastered),386vpRLVBVx08Jj1ZJqcga,22/09/2017,https://i.scdn.co/image/ab67616d0000b273b57e49202924f6b3dbe77cc3,https://i.scdn.co/image/ab6761610000e5eb1638d480b78afdf73f61052b
spotify:track:4cEVIG7vWNdwmFHaGYGtQY,Take Me Higher,6,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,"experimental pop, montreal indie",Good Will Come to You (Remastered),386vpRLVBVx08Jj1ZJqcga,22/09/2017,https://i.scdn.co/image/ab67616d0000b273b57e49202924f6b3dbe77cc3,https://i.scdn.co/image/ab6761610000e5eb1638d480b78afdf73f61052b
spotify:track:2MEGBztt3NPHrrH2l6Sz1u,The Real Way,5,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,"experimental pop, montreal indie",Good Will Come to You (Remastered),386vpRLVBVx08Jj1ZJqcga,22/09/2017,https://i.scdn.co/image/ab67616d0000b273b57e49202924f6b3dbe77cc3,https://i.scdn.co/image/ab6761610000e5eb1638d480b78afdf73f61052b
spotify:track:2IcV7JrkKWTzvOGYgUrciA,Heat of the Afternoon,5,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,"experimental pop, montreal indie",Good Will Come to You (Remastered),386vpRLVBVx08Jj1ZJqcga,22/09/2017,https://i.scdn.co/image/ab67616d0000b273b57e49202924f6b3dbe77cc3,https://i.scdn.co/image/ab6761610000e5eb1638d480b78afdf73f61052b
spotify:track:1gCo9P1Jgw2dwZmo1i269P,A Level Playing Field,5,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,"experimental pop, montreal indie",Good Will Come to You (Remastered),386vpRLVBVx08Jj1ZJqcga,22/09/2017,https://i.scdn.co/image/ab67616d0000b273b57e49202924f6b3dbe77cc3,https://i.scdn.co/image/ab6761610000e5eb1638d480b78afdf73f61052b
