Unnamed: 0,song_id,acousticness,valence,danceability,energy,key_arr,instrumentalness,liveness,track image,artist image,loudness,speechiness,tempo,duration,h_s
56,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,0.0151,0.434,0.637,0.843,5,0,0.0876,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,-5.413,0.0432,109.012,220733,h
57,spotify:track:6XcfKZvJio9Z0fQy11GnNX,0.00175,0.51,0.666,0.728,7,4.26E-06,0.0429,https://i.scdn.co/image/ab67616d0000b27385ea5f82c855acb4476b046c,https://i.scdn.co/image/ab6761610000e5eb5e38c4981d1484445f325cef,-5.808,0.0419,122.996,204878,h
58,spotify:track:4JehYebiI9JE8sR8MisGVb,0.272,0.472,0.508,0.72,11,0,0.0563,https://i.scdn.co/image/ab67616d0000b273801c4d205accdba0a468a10b,https://i.scdn.co/image/ab6761610000e5ebd3d058be8485c8583703b6d2,-5.908,0.0628,79.983,261640,h
59,spotify:track:7qiZfU4dY1lWllzX7mPBI3,0.581,0.931,0.825,0.652,1,0,0.0931,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,https://i.scdn.co/image/ab6761610000e5eb12a2ef08d00dd7451a6dbed6,-3.183,0.0802,95.977,233713,h
60,spotify:track:2ihCaVdNZmnHZWt0fvAM7B,0.0206,0.417,0.457,0.757,1,0,0.146,https://i.scdn.co/image/ab67616d0000b273cb3f67e8026e2e493a1e8262,https://i.scdn.co/image/ab6761610000e5ebce5451b5cc60faf1992e969a,-5.177,0.032,102.961,266600,h
61,spotify:track:1ydOxBgLmEMfWffu6t4H5x,0.366,0.747,0.827,0.613,8,1.25E-05,0.093,https://i.scdn.co/image/ab67616d0000b2734e64634a1bcf09b1c3ca1b85,https://i.scdn.co/image/ab6761610000e5ebd28e3bcc85f25f2814aa3830,-5.34,0.0621,137.96,177973,h
62,spotify:track:1mKXFLRA179hdOWQBwUk9e,0.346,0.441,0.778,0.547,2,0.000302,0.132,https://i.scdn.co/image/ab67616d0000b2739d0f0d226987b449808e7b6f,https://i.scdn.co/image/ab6761610000e5eb6ec3754d5db2e333b9434c75,-7.273,0.0489,95.002,242733,h
63,spotify:track:1yTTMcUhL7rtz08Dsgb7Qb,0.286,0.355,0.561,0.597,11,0,0.0979,https://i.scdn.co/image/ab67616d0000b27323a1cd02bc99c6e8ad9ed0df,https://i.scdn.co/image/ab6761610000e5eb55d1c6092ceb9ce09c32ec5e,-6,0.0405,76.826,197299,h
64,spotify:track:3jjujdWJ72nww5eGnfs2E7,0.0237,0.569,0.676,0.771,8,7.00E-06,0.102,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,https://i.scdn.co/image/ab6761610000e5ebd9f70439ec8893ef495e1b7e,-3.675,0.0483,99.048,207133,h
65,spotify:track:1SKPmfSYaPsETbRHaiA18G,0.06,0.304,0.448,0.665,9,2.55E-05,0.0828,https://i.scdn.co/image/ab67616d0000b2737d6cd95a046a3c0dacbc7d33,https://i.scdn.co/image/ab6761610000e5eb6fa4f7efaf78eb1bc0486d27,-4.203,0.026,172.004,237147,h
66,spotify:track:4dIPtEnmudhZPD8MsAtzSK,0.881,0.796,0.498,0.418,0,0,0.113,https://i.scdn.co/image/ab67616d0000b273d3e8837f14d35b2e637a5b35,https://i.scdn.co/image/ab6761610000e5eb3a3d9526271bfce0bfa9e4d9,-6.294,0.0539,190.078,195347,h
67,spotify:track:0rzNMzZsubFcXSEh7dnem7,0.745,0.552,0.524,0.397,0,0,0.521,https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23,https://i.scdn.co/image/ab6761610000e5ebd3d058be8485c8583703b6d2,-11.936,0.405,80.744,221093,h
68,spotify:track:6ihL9TjfRjadfEePzXXyVF,0.0159,0.552,0.718,0.691,4,0,0.0627,https://i.scdn.co/image/ab67616d0000b2738f6b4035c82eb9cf42e9d8d7,https://i.scdn.co/image/ab6761610000e5ebb57332e3fc2b97bb33577e65,-6.44,0.0387,100.008,213107,h
69,spotify:track:1hCTxutVVYvggAQcUUUZAT,0.678,0.299,0.584,0.465,10,0,0.106,https://i.scdn.co/image/ab67616d0000b2731bd04431e42ed2105ea3534a,https://i.scdn.co/image/ab6761610000e5eb80c7323d8b64397c278f86df,-4.88,0.0262,95.969,224586,h
70,spotify:track:1zaaaGPDU60KYY60M4JVl2,0.0817,0.419,0.76,0.718,5,0,0.0903,https://i.scdn.co/image/ab67616d0000b27329d1d791a3f35872577e1a41,https://i.scdn.co/image/ab6761610000e5ebc9ab8da6f7a3ce02f0b16fd8,-4.443,0.0476,100.01,252613,h
71,spotify:track:6MbncUXyxzF6AKeS4t1P7e,0.558,0.914,0.668,0.304,2,0,0.618,https://i.scdn.co/image/ab67616d0000b2736f8c26346723dd0531696bed,https://i.scdn.co/image/ab6761610000e5ebbf0ee2c099003f6886e4da0c,-12.313,0.0323,96.324,69067,h
72,spotify:track:3s4U7OHV7gnj42VV72eSZ6,0.162,0.549,0.799,0.586,11,2.03E-06,0.193,https://i.scdn.co/image/ab67616d0000b2737e519297d9876b6afff2ab7b,https://i.scdn.co/image/ab6761610000e5eb7a487027eb0c10af725d5410,-6.735,0.0377,120.97,227833,h
73,spotify:track:7sDjju2TKz3Iod8i131nND,0.158,0.135,0.54,0.494,5,0.000174,0.084,https://i.scdn.co/image/ab67616d0000b2732727a8389bf3480fc5cc3426,https://i.scdn.co/image/ab6761610000e5ebbe79ae5ba432e7b418e84cfd,-8.316,0.0284,92.021,196080,h
74,spotify:track:2dpaYNEQHiRxtZbfNsse99,0.191,0.671,0.687,0.792,5,0,0.167,https://i.scdn.co/image/ab67616d0000b27304bfd5a5fd5aa6ca648f66aa,https://i.scdn.co/image/ab6761610000e5eba91af711541f8807ed7f0676,-2.749,0.0452,100.015,214290,h
